ID	cate	gene_1	gene_2	gene_3	gene_4
GNM356	1	1	1	1	1
GNM4440	1	1	1	1	1
GNM3890	1	1	0	1	1
GNM1670	1	1	0	1	1
GNM358	1	1	0	1	1
GNM1683	1	1	0	1	1
GNM3434	1	1	1	1	1
GNM50571	1	1	1	1	1
GNM225	0	1	0	1	1
GNM565	0	1	1	1	1
GNM1107	0	1	0	1	1
GNM746	0	1	1	0	0
GNM747	0	1	1	1	1
GNM1382	0	0	0	1	1
GNM1383	0	0	1	1	1
GNM425	0	1	0	0	0
GNM742	0	1	0	1	0
GNM1232	0	1	1	1	1
GNM694	0	1	1	1	1
GNM1024	1	1	0	0	1
GNM1025	1	0	1	1	1
GNM1031	1	1	1	1	1
GNM1017	1	1	1	0	1
GNM962	1	1	0	1	1
GNM575	1	1	0	1	1
GNM1055	1	1	0	0	1
GNM1363	0	0	0	0	1
GNM1059	0	0	0	0	1
GNM774	0	0	0	0	0
GNM773	0	0	0	0	1
GNM1362	0	0	0	0	1
GNM1427	0	0	1	0	1
GNM1126	0	0	1	0	1
GNM1130	0	0	1	0	0
GNM1187	0	0	0	1	0
GNM1177	0	0	0	0	0
GNM495	0	0	1	0	1
GNM926	0	0	0	0	1
GNM1176	0	0	0	0	1
GNM1026	0	0	1	0	0
GNM594	0	0	1	0	0
GNM1186	0	0	1	1	1
GNM1170	0	0	1	1	1
GNM1546	0	0	0	1	1
GNM1213	0	0	0	0	1
GNM1125	0	0	1	1	1
GNM848	0	0	0	0	1
GNM1121	0	1	1	1	1
GNM1120	0	1	0	1	1
GNM576	0	0	1	1	1
GNM915	0	0	0	1	1
GNM684	0	0	1	1	1
GNM683	0	0	0	0	1
GNM1179	0	0	0	1	1
GNM973	0	0	0	0	0
GNM1148	0	1	1	1	1
GNM1154	0	1	1	1	1
GNM1122	0	1	0	1	1
GNM1146	0	0	0	0	1
GNM811	0	1	0	0	0
GNM1123	0	1	0	0	0
GNM444	0	1	0	1	1
GNM859	0	1	1	0	0
GNM860	0	1	1	0	0
GNM791	0	0	0	0	1
GNM1367	0	0	0	0	1
GNM1283	0	0	1	0	0
GNM855	0	0	0	0	0
GNM786	0	0	0	1	1
GNM833	0	0	0	1	1
GNM858	0	0	0	0	0
GNM875	0	0	0	1	0
GNM483	0	0	0	0	0
GNM1419	0	0	0	0	0
GNM1066	0	1	0	1	0
GNM1431	0	1	1	1	1
GNM1089	0	1	0	1	0
GNM1080	0	1	0	1	1
GNM1306	0	0	0	1	1
